	away_score	home_score	advantage
luton town 	0.8378378378378378	1.7027027027027026	0.8648648648648648
manchester city	1.7215189873417722	2.289156626506024	0.5676376391642519
manchester city 	1.4157303370786516	1.9125475285171103	0.4968171914384587
manchester united	1.7228915662650603	2.2025316455696204	0.4796400793045601
manchester united 	1.6486486486486487	2.11787072243346	0.4692220737848114
middlesbrough	1.2073170731707317	1.3625	0.15518292682926838
middlesbrough 	1.0171232876712328	1.3877551020408163	0.3706318143695835
millwall	0.9423076923076923	1.3617021276595744	0.41939443535188214
millwall 	1.0298507462686568	1.266990291262136	0.23713954499347922
milton keynes dons	1.25	0.6	-0.65
milton keynes dons 	0.6842105263157895	1.0	0.3157894736842105
newcastle united	1.2380952380952381	1.5128205128205128	0.27472527472527464
newcastle united 	1.0639097744360901	1.6286764705882353	0.5647666961521451
norwich city	1.0	1.4533333333333334	0.45333333333333337
norwich city 	1.0955631399317407	1.5608108108108107	0.46524767087907004
nottingham forest	1.0289855072463767	1.5454545454545454	0.5164690382081687
nottingham forest 	1.0797101449275361	1.4623655913978495	0.38265544647031335
peterborough united	1.0666666666666667	1.75	0.6833333333333333
peterborough united 	1.037037037037037	1.5087719298245614	0.47173489278752445
plymouth argyle	1.28	1.103448275862069	-0.17655172413793108
plymouth argyle 	0.7787610619469026	1.3669724770642202	0.5882114151173176
portsmouth	0.9423076923076923	1.6607142857142858	0.7184065934065935
portsmouth 	0.9489795918367347	1.4114583333333333	0.4624787414965985
preston north end	1.1666666666666667	1.2878787878787878	0.1212121212121211
preston north end 	1.1106870229007633	1.6015625	0.49087547709923673
queens park rangers	1.09375	1.295774647887324	0.202024647887324
queens park rangers 	0.929368029739777	1.3778625954198473	0.4484945656800704
reading	1.1285714285714286	1.5945945945945945	0.46602316602316596
reading 	1.2797202797202798	1.4574468085106382	0.17772652879035844
rotherham united	1.0	0.8333333333333334	-0.16666666666666663
rotherham united 	0.90625	1.2748091603053435	0.3685591603053435
scunthorpe united	1.0769230769230769	1.5	0.42307692307692313
scunthorpe united 	0.8035714285714286	1.290909090909091	0.4873376623376624
sheffield united	1.0714285714285714	1.5576923076923077	0.4862637362637363
sheffield united 	1.0787037037037037	1.459090909090909	0.3803872053872053
sheffield wednesday	0.96875	1.2258064516129032	0.25705645161290325
sheffield wednesday 	1.0310077519379846	1.3846153846153846	0.35360763267740003
southampton	1.1666666666666667	1.4861111111111112	0.3194444444444444
southampton 	1.1150793650793651	1.4007936507936507	0.2857142857142856
southend united	0.5	1.4	0.8999999999999999
southend united 	0.8421052631578947	1.2222222222222223	0.38011695906432763
stockport county	1.7777777777777777	0.8888888888888888	-0.8888888888888888
stockport county 	0.972972972972973	1.0810810810810811	0.10810810810810811
