	Team 1	Team 2	Home_team_score	Away_team_score
8233	Tea	Tea	F	T
8234	Blackburn Rovers FC 	Sunderland AFC 	0	0
8235	Charlton Athletic FC 	Chelsea FC 	2	3
8236	Everton FC 	Tottenham Hotspur FC 	2	2
8237	Fulham FC 	Bolton Wanderers FC 	4	1
8238	Leeds United FC 	Manchester City FC 	3	0
8239	Manchester United FC 	West Bromwich Albion FC 	1	0
8240	Southampton FC 	Middlesbrough FC 	0	0
8241	Arsenal FC 	Birmingham City FC 	2	0
8242	Aston Villa FC 	Liverpool FC 	0	1
8243	Newcastle United FC 	West Ham United FC 	4	0
8244	Chelsea FC 	Manchester United FC 	2	2
8245	Birmingham City FC 	Blackburn Rovers FC 	0	1
8246	Bolton Wanderers FC 	Charlton Athletic FC 	1	2
8247	Liverpool FC 	Southampton FC 	3	0
8248	Manchester City FC 	Newcastle United FC 	1	0
8249	Middlesbrough FC 	Fulham FC 	2	2
8250	Sunderland AFC 	Everton FC 	0	1
8251	Tottenham Hotspur FC 	Aston Villa FC 	1	0
8252	West Bromwich Albion FC 	Leeds United FC 	1	3
8253	West Ham United FC 	Arsenal FC 	2	2
8254	Arsenal FC 	West Bromwich Albion FC 	5	2
8255	Charlton Athletic FC 	Tottenham Hotspur FC 	0	1
8256	Aston Villa FC 	Manchester City FC 	1	0
8257	Blackburn Rovers FC 	Liverpool FC 	2	2
8258	Everton FC 	Birmingham City FC 	1	1
8259	Leeds United FC 	Sunderland AFC 	0	1
8260	Southampton FC 	Chelsea FC 	1	1
8261	Birmingham City FC 	Leeds United FC 	2	1
8262	Manchester City FC 	Everton FC 	3	1
8263	Middlesbrough FC 	Blackburn Rovers FC 	1	0
8264	Sunderland AFC 	Manchester United FC 	1	1
8265	Tottenham Hotspur FC 	Southampton FC 	2	1
8266	West Bromwich Albion FC 	Fulham FC 	1	0
8267	West Ham United FC 	Charlton Athletic FC 	0	2
8268	Bolton Wanderers FC 	Aston Villa FC 	1	0
8269	Chelsea FC 	Arsenal FC 	1	1
8270	Liverpool FC 	Newcastle United FC 	2	2
8271	Manchester United FC 	Middlesbrough FC 	1	0
8272	Arsenal FC 	Manchester City FC 	2	1
8273	Middlesbrough FC 	Sunderland AFC 	3	0
8274	Aston Villa FC 	Charlton Athletic FC 	2	0
8275	Blackburn Rovers FC 	Chelsea FC 	2	3
8276	Fulham FC 	Tottenham Hotspur FC 	3	2
8277	Liverpool FC 	Birmingham City FC 	2	2
8278	Manchester United FC 	Bolton Wanderers FC 	0	1
8279	Newcastle United FC 	Leeds United FC 	0	2
8280	Southampton FC 	Everton FC 	1	0
8281	West Ham United FC 	West Bromwich Albion FC 	0	1
8282	Bolton Wanderers FC 	Liverpool FC 	2	3
8283	Charlton Athletic FC 	Arsenal FC 	0	3
8284	Chelsea FC 	Newcastle United FC 	3	0
8285	Everton FC 	Middlesbrough FC 	2	1
8286	Leeds United FC 	Manchester United FC 	1	0
8287	Sunderland AFC 	Fulham FC 	0	3
8288	West Bromwich Albion FC 	Southampton FC 	1	0
8289	Manchester City FC 	Blackburn Rovers FC 	2	2
8290	Tottenham Hotspur FC 	West Ham United FC 	3	2
8291	Birmingham City FC 	Aston Villa FC 	3	0
8292	Arsenal FC 	Bolton Wanderers FC 	2	1
8293	Liverpool FC 	West Bromwich Albion FC 	2	0
8294	Manchester United FC 	Tottenham Hotspur FC 	1	0
8295	Middlesbrough FC 	Birmingham City FC 	1	0
8296	Newcastle United FC 	Sunderland AFC 	2	0
8297	Southampton FC 	Charlton Athletic FC 	0	0
8298	West Ham United FC 	Manchester City FC 	0	0
8299	Aston Villa FC 	Everton FC 	3	2
8300	Blackburn Rovers FC 	Leeds United FC 	1	0
8301	Fulham FC 	Chelsea FC 	0	0
8302	Birmingham City FC 	Newcastle United FC 	0	2
8303	Bolton Wanderers FC 	Southampton FC 	1	1
8304	Charlton Athletic FC 	Manchester United FC 	1	3
8305	Chelsea FC 	West Ham United FC 	2	3
8306	Everton FC 	Fulham FC 	2	0
8307	Leeds United FC 	Arsenal FC 	1	4
8308	Manchester City FC 	Liverpool FC 	0	3
8309	Sunderland AFC 	Aston Villa FC 	1	0
8310	Tottenham Hotspur FC 	Middlesbrough FC 	0	3
8311	West Bromwich Albion FC 	Blackburn Rovers FC 	0	2
8312	Middlesbrough FC 	Bolton Wanderers FC 	2	0
8313	Newcastle United FC 	West Bromwich Albion FC 	2	1
8314	Southampton FC 	Manchester City FC 	2	0
8315	West Ham United FC 	Birmingham City FC 	1	2
8316	Arsenal FC 	Sunderland AFC 	3	1
8317	Aston Villa FC 	Leeds United FC 	0	0
8318	Blackburn Rovers FC 	Tottenham Hotspur FC 	1	2
8319	Fulham FC 	Charlton Athletic FC 	1	0
8320	Liverpool FC 	Chelsea FC 	1	0
8321	Manchester United FC 	Everton FC 	3	0
8322	Blackburn Rovers FC (	Newcastle United FC 	5	2
8323	Everton FC (	Arsenal FC (	2	1
8324	Fulham FC 	Manchester United FC (	1	1
8325	Leeds United FC (	Liverpool FC (	0	1
8326	Manchester City FC (	Chelsea FC (	0	3
8327	Sunderland AFC (	West Ham United FC 	0	1
8328	West Bromwich Albion FC (	Birmingham City FC (	1	1
8329	Charlton Athletic FC (	Middlesbrough FC (	1	0
8330	Tottenham Hotspur FC (	Bolton Wanderers FC 	3	1
8331	Aston Villa FC (	Southampton FC (	0	1
8332	Fulham FC (	West Ham United FC (	0	1
8333	Arsenal FC (	Blackburn Rovers FC (	1	2
8334	Birmingham City FC (	Manchester City FC (	0	2
8335	Chelsea FC (	West Bromwich Albion FC (	2	0
8336	Liverpool FC (	Tottenham Hotspur FC (	2	1
8337	Manchester United FC (	Aston Villa FC (	1	1
8338	Middlesbrough FC (	Leeds United FC (	2	2
8339	Newcastle United FC (	Charlton Athletic FC (	2	1
8340	Southampton FC (	Fulham FC (	4	2
8341	West Ham United FC (	Everton FC (	0	1
8342	Bolton Wanderers FC (	Sunderland AFC (	1	1
8343	Birmingham City FC (	Bolton Wanderers FC (	3	1
8344	Liverpool FC (	West Ham United FC (	2	0
8345	Manchester United FC (	Southampton FC (	2	1
8346	West Bromwich Albion FC (	Manchester City FC (	1	2
8347	Blackburn Rovers FC (	Aston Villa FC (	0	0
8348	Charlton Athletic FC (	Sunderland AFC (	1	1
8349	Fulham FC (	Arsenal FC (	0	1
8350	Leeds United FC (	Everton FC (	0	1
8351	Tottenham Hotspur FC (	Chelsea FC (	0	0
8352	Newcastle United FC (	Middlesbrough FC (	2	0
8353	Arsenal FC (	Newcastle United FC (	1	0
8354	Aston Villa FC (	Fulham FC (	3	1
8355	Bolton Wanderers FC (	West Bromwich Albion FC (	1	1
8356	Chelsea FC (	Birmingham City FC (	3	0
8357	Everton FC (	Charlton Athletic FC (	1	0
8358	Manchester City FC (	Manchester United FC (	3	1
8359	Middlesbrough FC (	Liverpool FC (	1	0
8360	Southampton FC (	Blackburn Rovers FC (	1	1
8361	Sunderland AFC (	Tottenham Hotspur FC (	2	0
8362	West Ham United FC (	Leeds United FC (	3	4
8363	Arsenal FC (	Tottenham Hotspur FC (	3	0
8364	Chelsea FC (	Middlesbrough FC (	1	0
8365	Manchester City FC (	Charlton Athletic FC (	0	1
8366	Newcastle United FC (	Southampton FC (	2	1
8367	West Bromwich Albion FC (	Aston Villa FC (	0	0
8368	Birmingham City FC (	Fulham FC (	0	0
8369	Blackburn Rovers FC (	Everton FC (	0	1
8370	Leeds United FC (	Bolton Wanderers FC (	2	4
8371	Liverpool FC (	Sunderland AFC (	0	0
8372	West Ham United FC (	Manchester United FC (	1	1
8373	Aston Villa FC (	West Ham United FC (	4	1
8374	Bolton Wanderers FC (	Chelsea FC (	1	1
8375	Everton FC (	West Bromwich Albion FC (	1	0
8376	Fulham FC (	Liverpool FC (	3	2
8377	Manchester United FC (	Newcastle United FC (	5	3
8378	Middlesbrough FC (	Manchester City FC (	3	1
8379	Southampton FC (	Arsenal FC (	3	2
8380	Sunderland AFC (	Birmingham City FC (	0	1
8381	Charlton Athletic FC (	Blackburn Rovers FC (	3	1
8382	Tottenham Hotspur FC (	Leeds United FC (	2	0
8383	Arsenal FC (	Aston Villa FC (	3	1
8384	Birmingham City FC (	Tottenham Hotspur FC (	1	1
8385	Blackburn Rovers FC (	Fulham FC (	2	1
8386	Chelsea FC (	Sunderland AFC (	3	0
8387	Manchester City FC (	Bolton Wanderers FC (	2	0
8388	West Bromwich Albion FC (	Middlesbrough FC (	1	0
8389	Leeds United FC (	Charlton Athletic FC (	1	2
8390	Liverpool FC (	Manchester United FC (	1	2
8391	Newcastle United FC (	Everton FC (	2	1
8392	West Ham United FC (	Southampton FC (	0	1
8393	Aston Villa FC (	Newcastle United FC (	0	1
8394	Bolton Wanderers FC (	Blackburn Rovers FC (	1	1
8395	Charlton Athletic FC (	Liverpool FC (	2	0
8396	Everton FC (	Chelsea FC (	1	3
8397	Fulham FC (	Leeds United FC (	1	0
8398	Manchester United FC (	Arsenal FC (	2	0
8399	Middlesbrough FC (	West Ham United FC (	2	2
8400	Southampton FC (	Birmingham City FC (	2	0
8401	Tottenham Hotspur FC (	West Bromwich Albion FC (	3	1
8402	Sunderland AFC (	Manchester City FC (	0	3
8403	Aston Villa FC (	West Bromwich Albion FC (	2	1
8404	Charlton Athletic FC (	Manchester City FC (	2	2
8405	Everton FC (	Blackburn Rovers FC (	2	1
8406	Manchester United FC (	West Ham United FC (	3	0
8407	Middlesbrough FC (	Chelsea FC (	1	1
8408	Southampton FC (	Newcastle United FC (	1	1
8409	Fulham FC (	Birmingham City FC (	0	1
8410	Sunderland AFC (	Liverpool FC (	2	1
8411	Tottenham Hotspur FC (	Arsenal FC (	1	1
8412	Bolton Wanderers FC (	Leeds United FC (	0	3
8413	Arsenal FC (	Middlesbrough FC (	2	0
8414	Birmingham City FC (	Charlton Athletic FC (	1	1
8415	Chelsea FC (	Aston Villa FC (	2	0
8416	Leeds United FC (	Southampton FC (	1	1
8417	Newcastle United FC (	Fulham FC (	2	0
8418	West Bromwich Albion FC (	Sunderland AFC (	2	2
8419	West Ham United FC (	Bolton Wanderers FC (	1	1
8420	Blackburn Rovers FC (	Manchester United FC (	1	0
8421	Liverpool FC (	Everton FC (	0	0
8422	Manchester City FC (	Tottenham Hotspur FC (	2	3
8423	Birmingham City FC (	Everton FC (	1	1
8424	Bolton Wanderers FC (	Newcastle United FC (	4	3
8425	Chelsea FC (	Southampton FC (	0	0
8426	Liverpool FC (	Blackburn Rovers FC (	1	1
8427	Manchester City FC (	Aston Villa FC (	3	1
8428	Middlesbrough FC (	Manchester United FC (	3	1
8429	Sunderland AFC (	Leeds United FC (	1	2
8430	Tottenham Hotspur FC (	Charlton Athletic FC (	2	2
8431	West Bromwich Albion FC (	Arsenal FC (	1	2
8432	West Ham United FC (	Fulham FC (	1	1
8433	Aston Villa FC (	Middlesbrough FC (	1	0
8434	Blackburn Rovers FC (	West Ham United FC (	2	2
8435	Charlton Athletic FC (	West Bromwich Albion FC (	1	0
8436	Everton FC (	Bolton Wanderers FC (	0	0
8437	Fulham FC (	Manchester City FC (	0	1
8438	Leeds United FC (	Chelsea FC (	2	0
8439	Manchester United FC (	Birmingham City FC (	2	0
8440	Southampton FC (	Sunderland AFC (	2	1
8441	Arsenal FC (	Liverpool FC (	1	1
8442	Newcastle United FC (	Tottenham Hotspur FC (	2	1
8443	Arsenal FC (	Chelsea FC (	3	2
8444	Aston Villa FC (	Bolton Wanderers FC (	2	0
8445	Blackburn Rovers FC (	Middlesbrough FC (	1	0
8446	Everton FC (	Manchester City FC (	2	2
8447	Leeds United FC (	Birmingham City FC (	2	0
8448	Manchester United FC (	Sunderland AFC (	2	1
8449	Newcastle United FC (	Liverpool FC (	1	0
8450	Southampton FC (	Tottenham Hotspur FC (	1	0
8451	Bolton Wanderers FC (	Fulham FC (	0	0
8452	Chelsea FC (	Charlton Athletic FC (	4	1
8453	Liverpool FC (	Aston Villa FC (	1	1
8454	Manchester City FC (	Leeds United FC (	2	1
8455	Middlesbrough FC (	Southampton FC (	2	2
8456	Sunderland AFC (	Blackburn Rovers FC (	0	0
8457	West Bromwich Albion FC (	Manchester United FC (	1	3
8458	West Ham United FC (	Newcastle United FC (	2	2
8459	Birmingham City FC (	Arsenal FC (	0	4
8460	Tottenham Hotspur FC (	Everton FC (	4	3
8461	Aston Villa FC (	Tottenham Hotspur FC (	0	1
8462	Blackburn Rovers FC (	Birmingham City FC (	1	1
8463	Charlton Athletic FC (	Bolton Wanderers FC (	1	1
8464	Everton FC (	Sunderland AFC (	2	1
8465	Leeds United FC (	West Bromwich Albion FC (	0	0
8466	Manchester United FC (	Chelsea FC (	2	1
8467	Newcastle United FC (	Manchester City FC (	2	0
8468	Southampton FC (	Liverpool FC (	0	1
8469	Arsenal FC (	West Ham United FC (	3	1
8470	Fulham FC (	Middlesbrough FC (	1	0
8471	Charlton Athletic FC (	West Ham United FC (	4	2
8472	Newcastle United FC (	Bolton Wanderers FC (	1	0
8473	Bolton Wanderers FC (	Everton FC (	1	2
8474	Chelsea FC (	Leeds United FC (	3	2
8475	Middlesbrough FC (	Aston Villa FC (	2	5
8476	Sunderland AFC (	Southampton FC (	0	1
8477	Liverpool FC (	Arsenal FC (	2	2
8478	Manchester City FC (	Fulham FC (	4	1
8479	Tottenham Hotspur FC (	Newcastle United FC (	0	1
8480	West Bromwich Albion FC (	Charlton Athletic FC (	0	1
8481	West Ham United FC (	Blackburn Rovers FC (	2	1
8482	Arsenal FC (	Fulham FC (	2	1
8483	Bolton Wanderers FC (	Birmingham City FC (	4	2
8484	Chelsea FC (	Tottenham Hotspur FC (	1	1
8485	Everton FC (	Leeds United FC (	2	0
8486	Manchester City FC (	West Bromwich Albion FC (	1	2
8487	Southampton FC (	Manchester United FC (	0	2
8488	Sunderland AFC (	Charlton Athletic FC (	1	3
8489	Aston Villa FC (	Blackburn Rovers FC (	3	0
8490	West Ham United FC (	Liverpool FC (	0	3
8491	Birmingham City FC (	Manchester United FC (	0	1
8492	Birmingham City FC (	Chelsea FC (	1	3
8493	Blackburn Rovers FC (	Southampton FC (	1	0
8494	Charlton Athletic FC (	Everton FC (	2	1
8495	Fulham FC (	Aston Villa FC (	2	1
8496	Leeds United FC (	West Ham United FC (	1	0
8497	Liverpool FC (	Middlesbrough FC (	1	1
8498	Tottenham Hotspur FC (	Sunderland AFC (	4	1
8499	West Bromwich Albion FC (	Bolton Wanderers FC (	1	1
8500	Manchester United FC (	Manchester City FC (	1	1
8501	Newcastle United FC (	Arsenal FC (	1	1
8502	Fulham FC (	West Bromwich Albion FC (	3	0
8503	Bolton Wanderers FC (	Manchester United FC (	1	1
8504	Charlton Athletic FC (	Aston Villa FC (	3	0
8505	Chelsea FC (	Blackburn Rovers FC (	1	2
8506	Everton FC (	Southampton FC (	2	1
8507	Leeds United FC (	Newcastle United FC (	0	3
8508	Manchester City FC (	Arsenal FC (	1	5
8509	Sunderland AFC (	Middlesbrough FC (	1	3
8510	Birmingham City FC (	Liverpool FC (	2	1
8511	West Bromwich Albion FC (	West Ham United FC (	1	2
8512	Tottenham Hotspur FC (	Fulham FC (	1	1
8513	Blackburn Rovers FC (	Manchester City FC (	1	0
8514	Fulham FC (	Sunderland AFC (	1	0
8515	Middlesbrough FC (	Everton FC (	1	1
8516	Newcastle United FC (	Chelsea FC (	2	1
8517	Southampton FC (	West Bromwich Albion FC (	1	0
8518	West Ham United FC (	Tottenham Hotspur FC (	2	0
8519	Arsenal FC (	Charlton Athletic FC (	2	0
8520	Aston Villa FC (	Birmingham City FC (	0	2
8521	Manchester United FC (	Leeds United FC (	2	1
8522	Middlesbrough FC (	Newcastle United FC (	1	0
8523	Liverpool FC (	Bolton Wanderers FC (	2	0
8524	Aston Villa FC (	Manchester United FC (	0	1
8525	Blackburn Rovers FC (	Arsenal FC (	2	0
8526	Charlton Athletic FC (	Newcastle United FC (	0	2
8527	Everton FC (	West Ham United FC (	0	0
8528	Fulham FC (	Southampton FC (	2	2
8529	Leeds United FC (	Middlesbrough FC (	2	3
8530	Sunderland AFC (	Bolton Wanderers FC (	0	2
8531	Manchester City FC (	Birmingham City FC (	1	0
8532	Tottenham Hotspur FC (	Liverpool FC (	2	3
8533	West Bromwich Albion FC (	Chelsea FC (	0	2
8534	Birmingham City FC (	West Bromwich Albion FC (	1	0
8535	Chelsea FC (	Manchester City FC (	5	0
8536	Manchester United FC (	Fulham FC (	3	0
8537	Middlesbrough FC (	Charlton Athletic FC (	1	1
8538	Newcastle United FC (	Blackburn Rovers FC (	5	1
8539	Southampton FC (	Aston Villa FC (	2	2
8540	West Ham United FC (	Sunderland AFC (	2	0
8541	Arsenal FC (	Everton FC (	2	1
8542	Liverpool FC (	Leeds United FC (	3	1
8543	Bolton Wanderers FC (	Tottenham Hotspur FC (	1	0
8544	Aston Villa FC (	Arsenal FC (	1	1
8545	Bolton Wanderers FC (	Manchester City FC (	2	0
8546	Charlton Athletic FC (	Leeds United FC (	1	6
8547	Manchester United FC (	Liverpool FC (	4	0
8548	Middlesbrough FC (	West Bromwich Albion FC (	3	0
8549	Southampton FC (	West Ham United FC (	1	1
8550	Sunderland AFC (	Chelsea FC (	1	2
8551	Tottenham Hotspur FC (	Birmingham City FC (	2	1
8552	Everton FC (	Newcastle United FC (	2	1
8553	Fulham FC (	Blackburn Rovers FC (	0	4
8554	Birmingham City FC (	Sunderland AFC (	2	0
8555	Blackburn Rovers FC (	Charlton Athletic FC (	1	0
8556	Chelsea FC (	Bolton Wanderers FC (	1	0
8557	Leeds United FC (	Tottenham Hotspur FC (	2	2
8558	Liverpool FC (	Fulham FC (	2	0
8559	Manchester City FC (	Middlesbrough FC (	0	0
8560	Newcastle United FC (	Manchester United FC (	2	6
8561	West Bromwich Albion FC (	Everton FC (	1	2
8562	West Ham United FC (	Aston Villa FC (	2	2
8563	Arsenal FC (	Manchester United FC (	2	2
8564	Tottenham Hotspur FC (	Manchester City FC (	0	2
8565	Aston Villa FC (	Chelsea FC (	2	1
8566	Bolton Wanderers FC (	West Ham United FC (	1	0
8567	Charlton Athletic FC (	Birmingham City FC (	0	2
8568	Everton FC (	Liverpool FC (	1	2
8569	Fulham FC (	Newcastle United FC (	2	1
8570	Manchester United FC (	Blackburn Rovers FC (	3	1
8571	Middlesbrough FC (	Arsenal FC (	0	2
8572	Southampton FC (	Leeds United FC (	3	2
8573	Sunderland AFC (	West Bromwich Albion FC (	1	2
8574	Birmingham City FC (	Southampton FC (	3	2
8575	Blackburn Rovers FC (	Bolton Wanderers FC (	0	0
8576	Chelsea FC (	Everton FC (	4	1
8577	Liverpool FC (	Charlton Athletic FC (	2	1
8578	Manchester City FC (	Sunderland AFC (	3	0
8579	Newcastle United FC (	Aston Villa FC (	1	1
8580	West Bromwich Albion FC (	Tottenham Hotspur FC (	2	3
8581	West Ham United FC (	Middlesbrough FC (	1	0
8582	Leeds United FC (	Fulham FC (	2	0
8583	Birmingham City FC (	Middlesbrough FC (	3	0
8584	Bolton Wanderers FC (	Arsenal FC (	2	2
8585	Charlton Athletic FC (	Southampton FC (	2	1
8586	Chelsea FC (	Fulham FC (	1	1
8587	Everton FC (	Aston Villa FC (	2	1
8588	Leeds United FC (	Blackburn Rovers FC (	2	3
8589	Sunderland AFC (	Newcastle United FC (	0	1
8590	West Bromwich Albion FC (	Liverpool FC (	0	6
8591	Manchester City FC (	West Ham United FC (	0	1
8592	Tottenham Hotspur FC (	Manchester United FC (	0	2
8593	Aston Villa FC (	Sunderland AFC (	1	0
8594	Blackburn Rovers FC (	West Bromwich Albion FC (	1	1
8595	Fulham FC (	Everton FC (	2	0
8596	Liverpool FC (	Manchester City FC (	1	2
8597	Manchester United FC (	Charlton Athletic FC (	4	1
8598	Middlesbrough FC (	Tottenham Hotspur FC (	5	1
8599	Newcastle United FC (	Birmingham City FC (	1	0
8600	Southampton FC (	Bolton Wanderers FC (	0	0
8601	West Ham United FC (	Chelsea FC (	1	0
8602	Arsenal FC (	Leeds United FC (	2	3
8603	Arsenal FC (	Southampton FC (	6	1
8604	Birmingham City FC (	West Ham United FC (	2	2
8605	Bolton Wanderers FC (	Middlesbrough FC (	2	1
8606	Charlton Athletic FC (	Fulham FC (	0	1
8607	Chelsea FC (	Liverpool FC (	2	1
8608	Everton FC (	Manchester United FC (	1	2
8609	Leeds United FC (	Aston Villa FC (	3	1
8610	Manchester City FC (	Southampton FC (	0	1
8611	Sunderland AFC (	Arsenal FC (	0	4
8612	Tottenham Hotspur FC (	Blackburn Rovers FC (	0	4
8613	West Bromwich Albion FC (	Newcastle United FC (	2	2
8614	Tea	Tea	F	T
8615	Arsenal FC 	Everton FC 	2	1
8616	Birmingham City FC 	Tottenham Hotspur FC 	1	0
8617	Blackburn Rovers FC 	Wolverhampton Wanderers FC 	5	1
8618	Fulham FC 	Middlesbrough FC 	3	2
8619	Leicester City FC 	Southampton FC 	2	2
8620	Manchester United FC 	Bolton Wanderers FC 	4	0
8621	Portsmouth FC 	Aston Villa FC 	2	1
8622	Charlton Athletic FC 	Manchester City FC 	0	3
8623	Leeds United FC 	Newcastle United FC 	2	2
8624	Liverpool FC 	Chelsea FC 	1	2
8625	Bolton Wanderers FC 	Blackburn Rovers FC 	2	2
8626	Chelsea FC 	Leicester City FC 	2	1
8627	Everton FC 	Fulham FC 	3	1
8628	Manchester City FC 	Portsmouth FC 	1	1
8629	Newcastle United FC 	Manchester United FC 	1	2
8630	Southampton FC 	Birmingham City FC 	0	0
8631	Tottenham Hotspur FC 	Leeds United FC 	2	1
8632	Wolverhampton Wanderers FC 	Charlton Athletic FC 	0	4
8633	Aston Villa FC 	Liverpool FC 	0	0
8634	Middlesbrough FC 	Arsenal FC 	0	4
8635	Blackburn Rovers FC 	Manchester City FC 	2	3
8636	Charlton Athletic FC 	Everton FC 	2	2
8637	Leeds United FC 	Southampton FC 	0	0
8638	Leicester City FC 	Middlesbrough FC 	0	0
8639	Portsmouth FC 	Bolton Wanderers FC 	4	0
8640	Arsenal FC 	Aston Villa FC 	2	0
8641	Liverpool FC 	Tottenham Hotspur FC 	0	0
8642	Manchester United FC 	Wolverhampton Wanderers FC 	1	0
8643	Aston Villa FC 	Leicester City FC 	3	1
8644	Bolton Wanderers FC 	Charlton Athletic FC 	0	0
8645	Chelsea FC 	Blackburn Rovers FC 	2	2
8646	Everton FC 	Liverpool FC 	0	3
8647	Middlesbrough FC 	Leeds United FC 	2	3
8648	Newcastle United FC 	Birmingham City FC 	0	1
8649	Tottenham Hotspur FC 	Fulham FC 	0	3
8650	Wolverhampton Wanderers FC 	Portsmouth FC 	0	0
8651	Manchester City FC 	Arsenal FC 	1	2
8652	Southampton FC 	Manchester United FC 	1	0
8653	Arsenal FC 	Portsmouth FC 	1	1
8654	Blackburn Rovers FC 	Liverpool FC 	1	3
8655	Bolton Wanderers FC 	Middlesbrough FC 	2	0
8656	Charlton Athletic FC 	Manchester United FC 	0	2
8657	Chelsea FC 	Tottenham Hotspur FC 	4	2
8658	Everton FC 	Newcastle United FC 	2	2
8659	Southampton FC 	Wolverhampton Wanderers FC 	2	0
8660	Birmingham City FC 	Fulham FC 	2	2
8661	Manchester City FC 	Aston Villa FC 	4	1
8662	Leicester City FC 	Leeds United FC 	4	0
8663	Aston Villa FC 	Charlton Athletic FC 	2	1
8664	Fulham FC 	Manchester City FC 	2	2
8665	Leeds United FC 	Birmingham City FC 	0	2
8666	Liverpool FC 	Leicester City FC 	2	1
8667	Newcastle United FC 	Bolton Wanderers FC 	0	0
8668	Portsmouth FC 	Blackburn Rovers FC 	1	2
8669	Tottenham Hotspur FC 	Southampton FC 	1	3
8670	Wolverhampton Wanderers FC 	Chelsea FC 	0	5
8671	Manchester United FC 	Arsenal FC 	0	0
8672	Middlesbrough FC 	Everton FC 	1	0
8673	Arsenal FC 	Newcastle United FC 	3	2
8674	Birmingham City FC 	Portsmouth FC 	2	0
8675	Bolton Wanderers FC 	Wolverhampton Wanderers FC 	1	1
8676	Chelsea FC 	Aston Villa FC 	1	0
8677	Leicester City FC 	Manchester United FC 	1	4
8678	Southampton FC 	Middlesbrough FC 	0	1
8679	Blackburn Rovers FC 	Fulham FC 	0	2
8680	Charlton Athletic FC 	Liverpool FC 	3	2
8681	Everton FC 	Leeds United FC 	4	0
8682	Manchester City FC 	Tottenham Hotspur FC 	0	0
8683	Fulham FC 	Leicester City FC 	2	0
8684	Leeds United FC 	Blackburn Rovers FC 	2	1
8685	Liverpool FC 	Arsenal FC 	1	2
8686	Manchester United FC 	Birmingham City FC 	3	0
8687	Newcastle United FC 	Southampton FC 	1	0
8688	Portsmouth FC 	Charlton Athletic FC 	1	2
8689	Tottenham Hotspur FC 	Everton FC 	3	0
8690	Wolverhampton Wanderers FC 	Manchester City FC 	1	0
8691	Aston Villa FC 	Bolton Wanderers FC 	1	1
8692	Middlesbrough FC 	Chelsea FC 	1	2
8693	Birmingham City FC 	Chelsea FC 	0	0
8694	Arsenal FC 	Chelsea FC 	2	1
8695	Fulham FC 	Wolverhampton Wanderers FC 	0	0
8696	Leeds United FC 	Manchester United FC 	0	1
8697	Manchester City FC 	Bolton Wanderers FC 	6	2
8698	Middlesbrough FC 	Newcastle United FC 	0	1
8699	Portsmouth FC 	Liverpool FC 	1	0
8700	Birmingham City FC 	Aston Villa FC 	0	0
8701	Everton FC 	Southampton FC 	0	0
8702	Leicester City FC 	Tottenham Hotspur FC 	1	2
8703	Blackburn Rovers FC 	Charlton Athletic FC 	0	1
8704	Fulham FC 	Newcastle United FC 	2	3
8705	Aston Villa FC (	Everton FC (	0	0
8706	Bolton Wanderers FC (	Birmingham City FC (	0	1
8707	Chelsea FC (	Manchester City FC (	1	0
8708	Liverpool FC (	Leeds United FC (	3	1
8709	Manchester United FC (	Fulham FC (	1	3
8710	Newcastle United FC (	Portsmouth FC (	3	0
8711	Southampton FC (	Blackburn Rovers FC (	2	0
8712	Wolverhampton Wanderers FC (	Leicester City FC (	4	3
8713	Charlton Athletic FC (	Arsenal FC (	1	1
8714	Tottenham Hotspur FC (	Middlesbrough FC (	0	0
8715	Everton FC (	Chelsea FC (	0	1
8716	Leeds United FC (	Arsenal FC (	1	4
8717	Manchester United FC (	Portsmouth FC (	3	0
8718	Middlesbrough FC (	Wolverhampton Wanderers FC (	2	0
8719	Newcastle United FC (	Aston Villa FC (	1	1
8720	Southampton FC (	Manchester City FC (	0	2
8721	Tottenham Hotspur FC (	Bolton Wanderers FC (	0	1
8722	Fulham FC (	Liverpool FC (	1	2
8723	Leicester City FC (	Blackburn Rovers FC (	2	0
8724	Birmingham City FC (	Charlton Athletic FC (	1	2
8725	Arsenal FC (	Tottenham Hotspur FC (	2	1
8726	Aston Villa FC (	Middlesbrough FC (	0	2
8727	Bolton Wanderers FC (	Southampton FC (	0	0
8728	Charlton Athletic FC (	Fulham FC (	3	1
8729	Portsmouth FC (	Leeds United FC (	6	1
8730	Wolverhampton Wanderers FC (	Birmingham City FC (	1	1
8731	Chelsea FC (	Newcastle United FC (	5	0
8732	Liverpool FC (	Manchester United FC (	1	2
8733	Manchester City FC (	Leicester City FC (	0	3
8734	Blackburn Rovers FC (	Everton FC (	2	1
8735	Birmingham City FC (	Arsenal FC (	0	3
8736	Everton FC (	Wolverhampton Wanderers FC (	2	0
8737	Leeds United FC (	Bolton Wanderers FC (	0	2
8738	Leicester City FC (	Charlton Athletic FC (	1	1
8739	Manchester United FC (	Blackburn Rovers FC (	2	1
8740	Middlesbrough FC (	Liverpool FC (	0	0
8741	Newcastle United FC (	Manchester City FC (	3	0
8742	Southampton FC (	Chelsea FC (	0	1
8743	Tottenham Hotspur FC (	Aston Villa FC (	2	1
8744	Fulham FC (	Portsmouth FC (	2	0
8745	Aston Villa FC (	Southampton FC (	1	0
