	Team 1	Team 2	Home_team_score	Away_team_score
260	Liverpool FC (	Arsenal FC (	1	2
261	Manchester City FC (	Bolton Wanderers FC (	2	0
262	Queens Park Rangers FC (	Everton FC (	1	1
263	Stoke City FC (	Norwich City FC (	1	0
264	West Bromwich Albion FC (	Chelsea FC (	1	0
265	Wigan Athletic FC (	Swansea City AFC (	0	2
266	Fulham FC (	Wolverhampton Wanderers FC (	5	0
267	Newcastle United FC (	Sunderland AFC (	1	1
268	Tottenham Hotspur FC (	Manchester United FC (	1	3
269	Aston Villa FC (	Fulham FC (	1	0
270	Bolton Wanderers FC (	Queens Park Rangers FC (	2	1
271	Chelsea FC (	Stoke City FC (	1	0
272	Everton FC (	Tottenham Hotspur FC (	1	0
273	Sunderland AFC (	Liverpool FC (	1	0
274	Wolverhampton Wanderers FC (	Blackburn Rovers FC (	0	2
275	Manchester United FC (	West Bromwich Albion FC (	2	0
276	Norwich City FC (	Wigan Athletic FC (	1	1
277	Swansea City AFC (	Manchester City FC (	1	0
278	Arsenal FC (	Newcastle United FC (	2	1
279	Liverpool FC (	Everton FC (	3	0
280	Fulham FC (	Swansea City AFC (	0	3
281	Wigan Athletic FC (	West Bromwich Albion FC (	1	1
282	Newcastle United FC (	Norwich City FC (	1	0
283	Wolverhampton Wanderers FC (	Manchester United FC (	0	5
284	Blackburn Rovers FC (	Sunderland AFC (	2	0
285	Everton FC (	Arsenal FC (	0	1
286	Manchester City FC (	Chelsea FC (	2	1
287	Queens Park Rangers FC (	Liverpool FC (	3	2
288	Tottenham Hotspur FC (	Stoke City FC (	1	1
289	Arsenal FC (	Aston Villa FC (	3	0
290	Bolton Wanderers FC (	Blackburn Rovers FC (	2	1
291	Chelsea FC (	Tottenham Hotspur FC (	0	0
292	Liverpool FC (	Wigan Athletic FC (	1	2
293	Norwich City FC (	Wolverhampton Wanderers FC (	2	1
294	Stoke City FC (	Manchester City FC (	1	1
295	Sunderland AFC (	Queens Park Rangers FC (	3	1
296	Swansea City AFC (	Everton FC (	0	2
297	West Bromwich Albion FC (	Newcastle United FC (	1	3
298	Manchester United FC (	Fulham FC (	1	0
299	Aston Villa FC (	Chelsea FC (	2	4
300	Everton FC (	West Bromwich Albion FC (	2	0
301	Fulham FC (	Norwich City FC (	2	1
302	Manchester City FC (	Sunderland AFC (	3	3
303	Queens Park Rangers FC (	Arsenal FC (	2	1
304	Wigan Athletic FC (	Stoke City FC (	2	0
305	Wolverhampton Wanderers FC (	Bolton Wanderers FC (	2	3
306	Newcastle United FC (	Liverpool FC (	2	0
307	Tottenham Hotspur FC (	Swansea City AFC (	3	1
308	Blackburn Rovers FC (	Manchester United FC (	0	2
309	Swansea City AFC (	Newcastle United FC (	0	2
310	Bolton Wanderers FC (	Fulham FC (	0	3
311	Chelsea FC (	Wigan Athletic FC (	2	1
312	Liverpool FC (	Aston Villa FC (	1	1
313	Norwich City FC (	Everton FC (	2	2
314	Stoke City FC (	Wolverhampton Wanderers FC (	2	1
315	Sunderland AFC (	Tottenham Hotspur FC (	0	0
316	West Bromwich Albion FC (	Blackburn Rovers FC (	3	0
317	Arsenal FC (	Manchester City FC (	1	0
318	Manchester United FC (	Queens Park Rangers FC (	2	0
319	Aston Villa FC (	Stoke City FC (	1	1
320	Everton FC (	Sunderland AFC (	4	0
321	Fulham FC (	Chelsea FC (	1	1
322	Newcastle United FC (	Bolton Wanderers FC (	2	0
323	Tottenham Hotspur FC (	Norwich City FC (	1	2
324	Blackburn Rovers FC (	Liverpool FC (	2	3
325	Manchester City FC (	West Bromwich Albion FC (	4	0
326	Queens Park Rangers FC (	Swansea City AFC (	3	0
327	Wigan Athletic FC (	Manchester United FC (	1	0
328	Wolverhampton Wanderers FC (	Arsenal FC (	0	3
329	Norwich City FC (	Manchester City FC (	1	6
330	Sunderland AFC (	Wolverhampton Wanderers FC (	0	0
331	Swansea City AFC (	Blackburn Rovers FC (	3	0
332	West Bromwich Albion FC (	Queens Park Rangers FC (	1	0
333	Manchester United FC (	Aston Villa FC (	4	0
334	Arsenal FC (	Wigan Athletic FC (	1	2
335	Arsenal FC (	Chelsea FC (	0	0
336	Aston Villa FC (	Sunderland AFC (	0	0
337	Blackburn Rovers FC (	Norwich City FC (	2	0
338	Bolton Wanderers FC (	Swansea City AFC (	1	1
339	Fulham FC (	Wigan Athletic FC (	2	1
340	Newcastle United FC (	Stoke City FC (	3	0
341	Queens Park Rangers FC (	Tottenham Hotspur FC (	1	0
342	Liverpool FC (	West Bromwich Albion FC (	0	1
343	Manchester United FC (	Everton FC (	4	4
344	Wolverhampton Wanderers FC (	Manchester City FC (	0	2
345	Aston Villa FC (	Bolton Wanderers FC (	1	2
346	Everton FC (	Fulham FC (	4	0
347	Norwich City FC (	Liverpool FC (	0	3
348	Stoke City FC (	Arsenal FC (	1	1
349	Sunderland AFC (	Bolton Wanderers FC (	2	2
350	Swansea City AFC (	Wolverhampton Wanderers FC (	4	4
351	West Bromwich Albion FC (	Aston Villa FC (	0	0
352	Wigan Athletic FC (	Newcastle United FC (	4	0
353	Chelsea FC (	Queens Park Rangers FC (	6	1
354	Tottenham Hotspur FC (	Blackburn Rovers FC (	2	0
355	Manchester City FC (	Manchester United FC (	1	0
356	Liverpool FC (	Fulham FC (	0	1
357	Stoke City FC (	Everton FC (	1	1
358	Bolton Wanderers FC (	Tottenham Hotspur FC (	1	4
359	Chelsea FC (	Newcastle United FC (	0	2
360	Arsenal FC (	Norwich City FC (	3	3
361	Aston Villa FC (	Tottenham Hotspur FC (	1	1
362	Bolton Wanderers FC (	West Bromwich Albion FC (	2	2
363	Fulham FC (	Sunderland AFC (	2	1
364	Manchester United FC (	Swansea City AFC (	2	0
365	Newcastle United FC (	Manchester City FC (	0	2
366	Queens Park Rangers FC (	Stoke City FC (	1	0
367	Wolverhampton Wanderers FC (	Everton FC (	0	0
368	Blackburn Rovers FC (	Wigan Athletic FC (	0	1
369	Liverpool FC (	Chelsea FC (	4	1
370	Chelsea FC (	Blackburn Rovers FC (	2	1
371	Everton FC (	Newcastle United FC (	3	1
372	Manchester City FC (	Queens Park Rangers FC (	3	2
373	Norwich City FC (	Aston Villa FC (	2	0
374	Stoke City FC (	Bolton Wanderers FC (	2	2
375	Sunderland AFC (	Manchester United FC (	0	1
376	Swansea City AFC (	Liverpool FC (	1	0
377	Tottenham Hotspur FC (	Fulham FC (	2	0
378	West Bromwich Albion FC (	Arsenal FC (	2	3
379	Wigan Athletic FC (	Wolverhampton Wanderers FC (	3	2
380	Tea	Tea	F	T
381	Arsenal FC 	Sunderland AFC 	0	0
382	Fulham FC 	Norwich City FC 	5	0
383	Newcastle United FC 	Tottenham Hotspur FC 	2	1
384	Queens Park Rangers FC 	Swansea City AFC 	0	5
385	Reading FC 	Stoke City FC 	1	1
386	West Bromwich Albion FC 	Liverpool FC 	3	0
387	West Ham United FC 	Aston Villa FC 	1	0
388	Manchester City FC 	Southampton FC 	3	2
389	Wigan Athletic FC 	Chelsea FC 	0	2
390	Everton FC 	Manchester United FC 	1	0
391	Chelsea FC 	Reading FC 	4	2
392	Aston Villa FC 	Everton FC 	1	3
393	Chelsea FC 	Newcastle United FC 	2	0
394	Manchester United FC 	Fulham FC 	3	2
395	Norwich City FC 	Queens Park Rangers FC 	1	1
396	Southampton FC 	Wigan Athletic FC 	0	2
397	Swansea City AFC 	West Ham United FC 	3	0
398	Tottenham Hotspur FC 	West Bromwich Albion FC 	1	1
399	Liverpool FC 	Manchester City FC 	2	2
400	Stoke City FC 	Arsenal FC 	0	0
401	Manchester City FC 	Queens Park Rangers FC 	3	1
402	Swansea City AFC 	Sunderland AFC 	2	2
403	Tottenham Hotspur FC 	Norwich City FC 	1	1
404	West Bromwich Albion FC 	Everton FC 	2	0
405	West Ham United FC 	Fulham FC 	3	0
406	Wigan Athletic FC 	Stoke City FC 	2	2
407	Liverpool FC 	Arsenal FC 	0	2
408	Newcastle United FC 	Aston Villa FC 	1	1
